EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,PhysicsScore,SpeedSlope,AccelerationSlope,MomentumSlope,ConfluenceSlope,JerkSlope,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 03:55,NAS100,1,BUY,81.00,60.00,45.22,1244.29,3399.60,0.00,104.63,89.76,3069.15,-1924.40,28.34,-10.00,-1043.96,BULL,NORMAL,24615.1,0.00,0.0,0.0,10000.00,10000.00,0,PASS,PASS,3,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 04:00,NAS100,-1,SELL,81.00,80.00,-137.91,-1988.80,-2016.79,0.00,-1231.41,16.05,1170.90,-2920.38,18.56,0.00,-1030.25,BEAR,NORMAL,24603.4,0.00,0.0,0.0,10000.00,9984.06,1,PASS,PASS,4,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 05:10,NAS100,-1,SELL,83.67,80.00,-103.50,-1945.89,-1946.41,0.00,-200.05,16.18,-1918.70,-1053.95,-89.20,0.00,-93.40,BEAR,NORMAL,24606.7,0.00,0.0,0.0,9984.06,9976.44,1,PASS,PASS,5,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 05:30,NAS100,1,BUY,81.00,60.00,28.10,239.30,3507.76,0.00,1041.85,88.74,1049.93,1566.42,39.20,0.00,286.69,BULL,NORMAL,24609.1,0.00,0.0,0.0,9984.06,9974.06,1,PASS,PASS,5,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 05:35,NAS100,-1,SELL,81.00,80.00,-133.67,-2098.34,-725.32,0.00,-230.90,16.05,763.49,-440.68,26.09,0.00,-368.68,BEAR,NORMAL,24598.2,0.00,0.0,0.0,9974.06,9958.91,1,PASS,PASS,5,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 09:20,NAS100,-1,SELL,89.00,80.00,-178.33,-5019.82,-2127.60,0.00,-344.86,16.45,-1525.39,-631.08,-25.33,0.00,-2.09,BEAR,NORMAL,24561.2,0.00,0.0,0.0,9958.91,9991.68,1,PASS,PASS,9,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 09:45,NAS100,-1,SELL,86.33,80.00,-172.32,-10407.25,-2201.67,0.00,-216.04,16.32,-750.65,-1690.55,0.55,20.00,-663.92,BEAR,NORMAL,24538.3,0.00,0.0,0.0,9958.91,10014.35,1,PASS,PASS,9,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 12:15,NAS100,1,BUY,81.00,80.00,269.62,7788.70,564.71,0.00,373.74,96.05,56.31,2839.20,-1.55,0.00,998.12,BULL,NORMAL,24544.4,0.00,0.0,0.0,10057.91,10057.91,0,PASS,PASS,12,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 12:30,NAS100,1,BUY,86.33,80.00,381.47,10763.51,662.26,0.00,17.04,90.09,1055.07,-424.56,44.03,10.00,-326.11,BULL,NORMAL,24567.4,0.00,0.0,0.0,10057.91,10077.01,1,PASS,PASS,12,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 14:35,NAS100,1,BUY,86.33,80.00,275.66,11554.06,604.30,0.00,-306.38,81.32,57.46,-1208.41,-31.38,0.00,-163.32,BULL,NORMAL,24594.9,0.00,0.0,0.0,10057.91,10104.51,1,PASS,PASS,14,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 15:15,NAS100,-1,SELL,81.00,60.00,-50.46,-104.88,-3619.06,0.00,-444.86,19.78,-2556.76,-961.41,-26.97,0.00,-52.69,BEAR,NORMAL,24593.4,0.00,0.0,0.0,10057.91,10103.01,1,PASS,PASS,15,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 21:00,NAS100,1,BUY,81.00,80.00,187.20,2480.87,2544.64,0.00,1011.36,96.05,135.62,3182.38,4.03,10.00,983.67,BULL,LOW,24789.9,0.00,0.0,0.0,10002.01,10002.01,0,PASS,PASS,21,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 21:45,NAS100,1,BUY,78.33,80.00,210.56,6726.02,390.45,0.00,306.14,95.92,-680.84,760.00,-28.96,0.00,349.67,BULL,NORMAL,24832.2,0.00,0.0,0.0,10002.01,10040.91,1,PASS,PASS,21,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.01 22:05,NAS100,1,BUY,83.67,80.00,263.94,4459.98,345.13,0.00,322.65,96.18,-585.50,938.38,17.61,20.00,366.41,BULL,NORMAL,24840.9,0.00,0.0,0.0,10002.01,10049.61,1,PASS,PASS,22,3
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 01:01,NAS100,1,BUY,81.00,100.00,215.83,462.42,307.87,0.00,111.66,99.05,-925.92,-1025.21,-58.72,-10.00,-144.28,BULL,NORMAL,24817.8,0.00,0.0,0.0,10002.01,10022.16,1,PASS,PASS,1,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 02:55,NAS100,1,BUY,78.33,60.00,22.50,1102.82,1913.87,0.00,551.30,88.27,690.34,3158.71,-16.79,-10.00,967.88,BULL,LOW,24831.3,0.00,0.0,0.0,10002.01,10035.66,1,PASS,PASS,2,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 03:50,NAS100,1,BUY,91.67,80.00,180.20,6472.78,250.29,0.00,151.62,96.58,-561.65,1471.43,15.48,10.00,666.00,BULL,NORMAL,24865.3,0.00,0.0,0.0,10002.01,10069.66,1,PASS,PASS,3,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 04:20,NAS100,1,BUY,89.00,80.00,181.93,7042.67,2647.43,0.00,865.09,96.45,-111.59,874.12,17.61,0.00,293.11,BULL,NORMAL,24879.9,0.00,0.0,0.0,10002.01,10084.26,1,PASS,PASS,4,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 04:55,NAS100,1,BUY,78.33,80.00,150.36,4286.13,3362.57,0.00,1076.05,95.92,479.82,1876.95,27.47,20.00,495.61,BULL,NORMAL,24885.5,0.00,0.0,0.0,10002.01,10089.86,1,PASS,PASS,4,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 07:25,NAS100,-1,SELL,81.00,60.00,-21.58,-2157.78,-6684.57,0.00,-1699.03,17.76,-2326.24,-2507.67,-36.93,-10.00,-440.70,BEAR,NORMAL,24864.4,0.00,0.0,0.0,10002.01,10068.76,1,PASS,PASS,7,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 07:45,NAS100,1,BUY,86.33,80.00,46.82,271.75,413.07,0.00,143.43,93.13,958.16,2583.17,26.87,-20.00,683.39,BULL,NORMAL,24874.6,0.00,0.0,0.0,10068.76,10054.16,1,PASS,PASS,7,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 08:30,NAS100,-1,SELL,86.33,60.00,-26.65,-482.13,-1072.37,0.00,-24.54,23.38,-1440.66,-391.39,-26.53,10.00,67.15,BEAR,NORMAL,24877.9,0.00,0.0,0.0,10054.16,10053.06,1,PASS,PASS,8,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 08:40,NAS100,1,BUY,81.00,60.00,32.21,384.39,769.99,0.00,392.11,88.98,-165.51,943.68,-55.83,-10.00,300.65,BULL,NORMAL,24879.6,0.00,0.0,0.0,10053.06,10047.46,1,PASS,PASS,8,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 08:55,NAS100,1,BUY,83.67,80.00,128.10,2301.60,1505.83,0.00,326.86,96.18,617.96,748.97,35.95,10.00,159.02,BULL,NORMAL,24886.1,0.00,0.0,0.0,10047.46,10050.06,1,PASS,PASS,8,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 13:40,NAS100,1,BUY,81.00,80.00,201.13,4599.52,1127.36,0.00,213.27,96.05,381.98,1727.63,21.53,10.00,617.72,BULL,NORMAL,24929.6,0.00,0.0,0.0,10047.46,10093.56,1,PASS,PASS,13,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 18:55,NAS100,1,BUY,86.33,80.00,377.46,5116.10,5864.92,0.00,1233.62,96.32,1677.36,4095.18,318.38,0.00,1319.27,BULL,HIGH,24875.3,0.00,0.0,0.0,10147.46,10147.46,0,PASS,PASS,18,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 19:45,NAS100,-1,SELL,78.33,80.00,-291.10,-1624.50,-1815.99,0.00,-144.84,15.92,-1225.12,-1023.92,-172.54,10.00,-290.97,BEAR,NORMAL,24862.3,0.00,0.0,0.0,10147.46,10130.90,1,PASS,PASS,19,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 19:55,NAS100,1,BUY,75.67,80.00,191.14,1977.22,2806.34,0.00,879.79,95.78,298.60,2338.94,43.00,0.00,728.35,BULL,NORMAL,24889.8,0.00,0.0,0.0,10130.90,10099.69,1,PASS,PASS,19,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 20:35,NAS100,1,BUY,75.67,80.00,392.56,5646.15,1272.41,0.00,174.57,95.78,359.73,-2026.36,-8.76,-10.00,-768.05,BULL,NORMAL,24900.8,0.00,0.0,0.0,10099.69,10107.29,1,PASS,PASS,20,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 20:45,NAS100,1,BUY,81.00,80.00,335.94,4970.05,146.95,0.00,-42.05,81.68,27.72,-308.83,-22.92,0.00,-50.07,BULL,NORMAL,24907.6,0.00,0.0,0.0,10099.69,10114.09,1,PASS,PASS,20,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 21:00,NAS100,-1,SELL,75.67,60.00,-59.63,-150.22,-3218.95,0.00,-659.27,15.21,-1106.35,-442.05,-43.19,0.00,-15.77,BEAR,NORMAL,24894.3,0.00,0.0,0.0,10099.69,10100.79,1,PASS,PASS,21,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 23:10,NAS100,1,BUY,75.67,80.00,149.79,2414.40,3436.97,0.00,869.99,95.78,1159.93,291.25,91.08,0.00,-136.32,BULL,LOW,24931.1,0.00,0.0,0.0,10100.79,10060.19,1,PASS,PASS,23,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.02 23:30,NAS100,-1,SELL,78.33,80.00,-104.93,-888.59,-1147.27,0.00,-177.15,15.92,-1309.21,-1599.79,-110.40,-20.00,-338.91,BEAR,LOW,24923.6,0.00,0.0,0.0,10060.19,10049.29,1,PASS,PASS,23,4
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 01:01,NAS100,-1,SELL,81.00,100.00,-183.70,-1899.23,-574.46,0.00,-357.79,19.05,1700.33,1710.64,60.03,-10.00,300.81,BEAR,NORMAL,24908.0,0.00,0.0,0.0,10049.29,10063.21,1,PASS,PASS,1,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 01:10,NAS100,-1,SELL,78.33,80.00,-142.41,-1375.09,-691.48,0.00,-357.50,15.92,300.10,-1328.91,26.54,0.00,-507.95,BEAR,NORMAL,24913.4,0.00,0.0,0.0,10049.29,10056.81,1,PASS,PASS,1,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 01:25,NAS100,-1,SELL,83.67,80.00,-217.78,-3065.66,-878.93,0.00,-152.02,16.18,-747.31,-340.89,-38.71,10.00,6.47,BEAR,LOW,24906.7,0.00,0.0,0.0,10049.29,10063.51,1,PASS,PASS,1,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 01:55,NAS100,1,BUY,78.33,80.00,72.53,4935.97,4736.91,0.00,499.64,94.27,4158.01,2263.45,80.32,0.00,204.75,BULL,LOW,24914.7,0.00,0.0,0.0,10049.29,10055.51,1,PASS,PASS,1,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 02:15,NAS100,1,BUY,86.33,80.00,172.91,5789.82,1277.66,0.00,-62.37,84.14,525.06,1461.52,45.96,20.00,695.50,BULL,NORMAL,24925.7,0.00,0.0,0.0,10055.51,10062.11,1,PASS,PASS,2,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 02:35,NAS100,1,BUY,86.33,80.00,153.45,5942.31,197.03,0.00,-55.52,84.44,-269.00,-2123.49,-12.03,-10.00,-648.56,BULL,NORMAL,24928.9,0.00,0.0,0.0,10055.51,10065.31,1,PASS,PASS,2,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 04:15,NAS100,-1,SELL,83.67,80.00,-57.51,-444.20,-715.29,0.00,520.47,33.73,-2354.49,109.28,-36.53,-30.00,255.67,BEAR,NORMAL,24953.4,0.00,0.0,0.0,10055.51,10089.81,1,PASS,PASS,4,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 04:25,NAS100,-1,SELL,89.00,80.00,-130.69,-389.55,-285.52,0.00,308.53,31.45,-112.35,1863.94,-53.72,30.00,511.26,BEAR,NORMAL,24952.4,0.00,0.0,0.0,10089.81,10086.41,1,PASS,PASS,4,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 04:35,NAS100,1,BUY,86.33,80.00,67.48,683.28,470.86,0.00,255.95,94.37,290.59,549.22,36.50,-10.00,31.60,BULL,NORMAL,24956.9,0.00,0.0,0.0,10089.81,10083.21,1,PASS,PASS,4,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 05:15,NAS100,-1,SELL,86.33,60.00,-35.30,-1879.62,-2935.73,0.00,-317.95,17.20,-2497.60,-238.20,-42.73,-20.00,284.70,BEAR,NORMAL,24961.2,0.00,0.0,0.0,10083.21,10084.41,1,PASS,PASS,5,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 05:30,NAS100,1,BUY,86.33,80.00,92.42,1202.59,1624.17,0.00,567.30,95.86,705.94,1912.32,41.25,20.00,463.07,BULL,NORMAL,24966.4,0.00,0.0,0.0,10084.41,10074.81,1,PASS,PASS,5,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 07:35,NAS100,1,BUY,81.00,80.00,39.17,1058.90,1654.06,0.00,776.24,92.40,-647.64,1567.89,-18.53,-10.00,563.18,BULL,NORMAL,24982.2,0.00,0.0,0.0,10074.81,10086.21,1,PASS,PASS,7,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 08:30,NAS100,1,BUY,81.00,80.00,122.02,5900.11,397.66,0.00,-99.56,81.08,577.89,30.32,7.31,10.00,7.06,BULL,NORMAL,24997.8,0.00,0.0,0.0,10074.81,10101.81,1,PASS,PASS,8,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 09:25,NAS100,1,BUY,86.33,80.00,84.40,2119.02,3078.49,0.00,310.86,95.38,3841.30,2774.39,44.14,-10.00,327.89,BULL,NORMAL,24989.4,0.00,0.0,0.0,10074.81,10093.41,1,PASS,PASS,9,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 11:20,NAS100,-1,SELL,83.67,80.00,-65.28,-912.13,-1080.00,0.00,-246.22,18.27,-441.06,-898.07,-48.28,-10.00,-237.71,BEAR,NORMAL,24986.9,0.00,0.0,0.0,10074.81,10090.91,1,PASS,PASS,11,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 14:00,NAS100,-1,SELL,81.00,80.00,-108.84,-5355.98,-634.03,0.00,-283.26,16.05,1542.96,1115.37,27.47,10.00,53.83,BEAR,NORMAL,24971.4,0.00,0.0,0.0,10090.91,10102.51,1,PASS,PASS,14,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 14:25,NAS100,-1,SELL,83.67,80.00,-210.15,-7629.51,-1859.13,0.00,-401.75,16.18,-491.57,-54.86,-30.86,10.00,51.60,BEAR,NORMAL,24959.4,0.00,0.0,0.0,10090.91,10114.51,1,PASS,PASS,14,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 14:35,NAS100,-1,SELL,89.00,100.00,-240.35,-9584.15,-503.17,0.00,220.00,34.45,-1418.01,-311.20,-18.75,0.00,39.56,BEAR,NORMAL,24947.4,0.00,0.0,0.0,10090.91,10126.51,1,PASS,PASS,14,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 16:20,NAS100,1,BUY,78.33,100.00,121.99,1327.77,1819.78,0.00,72.95,96.89,828.77,-1533.48,126.97,-10.00,-574.56,BULL,NORMAL,24936.9,0.00,0.0,0.0,10090.91,10137.01,1,PASS,PASS,16,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 16:30,NAS100,1,BUY,86.33,80.00,253.15,2988.97,1866.19,0.00,148.52,96.32,815.52,-678.18,103.81,10.00,-227.65,BULL,NORMAL,24943.9,0.00,0.0,0.0,10137.01,10140.14,1,PASS,PASS,16,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 17:00,NAS100,-1,SELL,83.67,80.00,-418.31,-4724.16,-3876.89,0.00,-238.55,16.18,-4585.09,-5448.41,-314.33,-10.00,-1307.36,BEAR,HIGH,24916.9,0.00,0.0,0.0,10137.01,10112.87,1,PASS,PASS,17,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 17:40,NAS100,1,BUY,81.00,80.00,465.83,2409.33,3883.67,0.00,158.99,96.05,3653.55,-280.55,170.15,-20.00,-565.51,BULL,HIGH,24917.9,0.00,0.0,0.0,10112.87,10108.43,1,PASS,PASS,17,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 18:45,NAS100,-1,SELL,81.00,60.00,-59.45,-1870.24,-2652.76,0.00,-201.79,15.48,-2919.96,-1604.16,-317.18,0.00,-142.79,BEAR,NORMAL,24929.9,0.00,0.0,0.0,10108.43,10117.12,1,PASS,PASS,18,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 20:05,NAS100,-1,SELL,81.00,80.00,-422.23,-17115.27,-7071.33,0.00,-967.78,16.05,-2564.02,-3365.29,-0.11,10.00,-1116.21,BEAR,NORMAL,24863.7,0.00,0.0,0.0,10117.12,10180.55,1,PASS,PASS,20,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 20:30,NAS100,-1,SELL,83.67,80.00,-529.13,-17299.50,-2270.14,0.00,-398.74,16.18,1520.39,2740.73,58.70,0.00,557.48,BEAR,NORMAL,24839.4,0.00,0.0,0.0,10117.12,10205.09,1,PASS,PASS,20,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 20:50,NAS100,-1,SELL,91.67,80.00,-560.05,-14585.33,-2885.52,0.00,-927.86,16.58,-64.42,-3068.29,-62.23,20.00,-1104.32,BEAR,NORMAL,24798.9,0.00,0.0,0.0,10218.12,10218.12,0,PASS,PASS,20,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 21:20,NAS100,1,BUY,83.67,60.00,322.26,1064.90,10402.39,0.00,1621.74,93.18,6993.12,2810.65,197.23,10.00,38.78,BULL,HIGH,24817.2,0.00,0.0,0.0,10218.12,10195.99,1,PASS,PASS,21,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 21:50,NAS100,-1,SELL,83.67,80.00,-285.76,-2731.56,-3397.13,0.00,-536.57,16.18,-4063.00,-2610.57,-444.09,0.00,-68.43,BEAR,NORMAL,24795.7,0.00,0.0,0.0,10195.99,10170.84,1,PASS,PASS,21,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 23:45,NAS100,1,BUY,81.00,80.00,173.20,505.01,576.68,0.00,-294.49,81.05,1282.14,-92.01,90.89,10.00,-105.12,BULL,LOW,24796.9,0.00,0.0,0.0,10170.84,10166.19,1,PASS,PASS,23,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.03 23:50,NAS100,-1,SELL,81.00,80.00,-191.38,-719.97,-639.34,0.00,-456.13,16.05,405.64,-1348.45,-0.90,20.00,-434.07,BEAR,LOW,24790.7,0.00,0.0,0.0,10166.19,10156.49,1,PASS,PASS,23,5
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 04:35,NAS100,1,BUY,81.00,80.00,177.01,2767.78,1461.79,0.00,263.19,96.05,506.94,1066.08,27.28,20.00,356.03,BULL,LOW,24890.8,0.00,0.0,0.0,10060.70,10060.70,0,PASS,PASS,4,1
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 05:45,NAS100,1,BUY,81.00,80.00,74.20,1895.91,467.92,0.00,270.46,94.50,-402.28,208.27,-17.99,-10.00,113.56,BULL,LOW,24899.6,0.00,0.0,0.0,10060.70,10065.10,1,PASS,PASS,5,1
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 08:10,NAS100,-1,SELL,81.00,100.00,-99.37,-1853.74,-2135.66,0.00,-100.46,19.09,-2176.85,-615.88,-53.78,10.00,40.27,BEAR,NORMAL,24913.8,0.00,0.0,0.0,10060.70,10079.30,1,PASS,PASS,8,1
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 10:20,NAS100,1,BUY,78.33,60.00,9.36,180.55,1069.26,0.00,621.25,87.48,-607.87,1458.97,-79.77,20.00,528.27,BULL,NORMAL,24917.3,0.00,0.0,0.0,10079.30,10071.90,1,PASS,PASS,10,1
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 10:25,NAS100,-1,SELL,86.33,80.00,-167.02,-3096.90,-1826.85,0.00,-121.23,16.32,-770.97,-250.92,-55.98,20.00,-111.20,BEAR,NORMAL,24905.6,0.00,0.0,0.0,10071.90,10056.30,1,PASS,PASS,10,1
TP_Integrated_EA,5.0.0.2_MASTER,2025.10.06 10:50,NAS100,-1,SELL,91.67,80.00,-244.08,-8546.81,-65.80,0.00,395.15,40.98,4.68,2250.50,-26.53,-10.00,624.95,BEAR,NORMAL,24889.8,0.00,0.0,0.0,10056.30,10068.20,1,PASS,PASS,10,1
