IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
88,MT5_Backtest,88,2025.11.17 15:31:00,2025-11-17,15:31:00,Monday,November,2025-11-17,07:31:00,Monday,November,15-031,30-016,1h-008,2h-004,3h-003,4h-002,News,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,1.46,25,195.38,22.05,217.43,89,89,2025-11-17,07:38:32,Monday,November,15-031,30-016,1h-008,2h-004,3h-003,4h-002,News,buy,out,25,0,0.0,Win,Short,7,11.285699662196745,0.34,25040.1,25007.6,83.67,80,-118.09,-4012.35,-5514.24,0,-1365.86,16.18,-3621.02,-6400.28,-232.25,0,-1786.18,BEAR,NORMAL,0,TP,0,0,-180.39,-7472.53,-2484.99,0,51.29,27.26,-3325.92,460.77,-176.6,0,708.34,UNKNOWN,UNKNOWN,0,22.05,10.14,15.1,8,7,30,0.34,25007.6,25040.1,0.14,-0.18,14.3,-18.2,8,3,0.09,113560.54,0.5,24958.5,48.3,-0.19,13,25028.2,-21.4,0.09,22,,33.2,-11.08,3460.18,-295.1,80,True,True,2025.11.17 15:31,0.0,83.67,80,-3769.52,-5140.66,-117.84,0,-1259.12,16.18,-3621.02,-6400.28,-232.25,0,-1786.18,BEAR,NORMAL,False,PASS,True,2025.11.17 15:36,2.533333333333333,89.0,80.0,-6393.8,-241.27,-230.58,0.0,75.26,29.59,1280.42,1482.62,53.46,0.0,197.12,BEAR,NORMAL,0.0,PASS,,2025-11-22T23:52:51.511Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
84,MT5_Backtest,84,2025.11.17 15:10:00,2025-11-17,15:10:00,Monday,November,2025-11-17,07:10:00,Monday,November,15-029,30-015,1h-008,2h-004,3h-003,4h-002,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,1.62,25,216.45,25.27,241.72,85,85,2025-11-17,07:11:08,Monday,November,15-029,30-015,1h-008,2h-004,3h-003,4h-002,After Hours,buy,out,25,0,0.0,Win,Short,1,11.674751674751676,0.35,25050.3,25030.3,81.0,80,-311.39,-6873.7,-2762.4,0,-600.41,16.05,-1013.35,-828.11,-40.47,0,-187.56,AVOID,NORMAL,0,TP,0,0,224.7,11211.57,-135.1,0,-807.17,57.73,99.78,-3507.94,24.94,0,-1067.96,UNKNOWN,UNKNOWN,0,25.27,10.45,15.6,2,1,30,0.35,25030.3,25050.3,0.14,-0.06,14.1,-5.9,2,1,0.1,99130.59,0.5,24958.5,70.3,-0.28,40,25061.4,-32.6,0.13,7,,54.7,-41.68,-18085.27,-1113.12,80,True,True,2025.11.17 15:10,0.0,81.0,80,-6873.7,-2762.4,-311.39,0,-600.41,16.05,-1013.35,-828.11,-40.47,0,-187.56,AVOID,NORMAL,False,PASS,True,2025.11.17 15:10,1.1333333333333333,81.0,80.0,-6873.7,-2762.4,-311.39,0.0,-600.41,16.05,-1013.35,-828.11,-40.47,0.0,-187.56,AVOID,NORMAL,0.0,PASS,,2025-11-22T23:52:51.510Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
82,MT5_Backtest,82,2025.11.17 14:05:00,2025-11-17,14:05:00,Monday,November,2025-11-17,06:05:00,Monday,November,15-025,30-013,1h-007,2h-004,3h-003,4h-002,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,1.45,25,194.55,21.9,216.45,83,83,2025-11-17,06:44:06,Monday,November,15-027,30-014,1h-007,2h-004,3h-003,4h-002,After Hours,buy,out,25,0,0.0,Win,Short,39,11.256746337702388,0.34,25128.1,25079.3,97.0,80,-330.98,-16724.25,-76.8,0,898.2,40.47,-882.95,5011.59,-14.56,0,1706.7,BEAR,NORMAL,0,TP,0,0,-273.75,-8577.16,-2225.05,0,155.51,31.18,-4389.64,-1182.49,-144.58,0,214.95,UNKNOWN,UNKNOWN,0,21.9,10.12,15.1,40,39,30,0.34,25079.3,25128.1,0.15,-0.34,14.9,-33.9,40,22,0.09,114740.18,0.5,25003.9,75.2,-0.3,29,25096.2,-17.1,0.07,1,,60.1,9.29,-8147.09,3506.69,80,True,True,2025.11.17 14:05,0.0,97.0,80,-16724.25,-76.8,-330.98,0,898.2,40.47,-882.95,5011.59,-14.56,0,1706.7,BEAR,NORMAL,False,PASS,False,,,,,,,,,,,,,,,,,,,,,2025-11-22T23:52:51.510Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
80,MT5_Backtest,80,2025.11.17 14:01:00,2025-11-17,14:01:00,Monday,November,2025-11-17,06:01:00,Monday,November,15-025,30-013,1h-007,2h-004,3h-003,4h-002,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,1.3,25,174.27,20.28,194.55,81,81,2025-11-17,06:03:08,Monday,November,15-025,30-013,1h-007,2h-004,3h-003,4h-002,After Hours,buy,out,25,0,0.0,Win,Short,2,11.637114821828197,0.35,25138.6,25112.7,86.33,80,-293.4,-7845.96,-1033.8,0,353.34,31.32,-1850.1,-1450.02,-54.0,0,-487.88,BEAR,NORMAL,0,TP,0,0,-212.91,-1475.88,-610.34,0,-523.71,15.38,1730.44,-1651.73,70.35,0,-937.02,UNKNOWN,UNKNOWN,0,20.28,10.42,15.6,3,2,30,0.35,25112.7,25138.6,0.14,-0.12,14.0,-11.9,3,2,0.08,123957.59,0.5,25064.4,46.7,-0.19,46,25123.9,-12.8,0.05,24,,31.1,15.93,-6370.08,-3580.54,80,True,True,2025.11.17 14:01,0.0,86.33,80,-7845.96,-1033.8,-293.4,0,353.34,31.32,-1850.1,-1450.02,-54.0,0,-487.88,BEAR,NORMAL,False,PASS,True,2025.11.17 14:01,2.1333333333333333,86.33,80.0,-7845.96,-1033.8,-293.4,0.0,353.34,31.32,-1850.1,-1450.02,-54.0,0.0,-487.88,BEAR,NORMAL,0.0,PASS,,2025-11-22T23:52:51.510Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
8,MT5_Backtest,8,2025.11.17 01:22:00,2025-11-17,01:22:00,Monday,November,2025-11-16,17:22:00,Sunday,November,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,5.22,25,697.02,78.3,775.32,9,9,2025-11-16,17:32:47,Sunday,November,15-071,30-036,1h-018,2h-009,3h-006,4h-005,After Hours,sell,out,25,0,0.0,Win,Long,10,11.233537057760179,0.34,25078.7,25109.2,91.67,100,460.18,9610.46,20.9,0,-173.16,72.05,-131.72,-203.94,-251.25,0,51.16,BULL,NORMAL,0,TP,0,0,-108.99,-411.64,347.63,0,-498.49,40.78,1883.5,3907.1,74.31,0,1265.38,UNKNOWN,UNKNOWN,0,78.3,10.1,15.0,11,10,30,0.34,25109.2,25078.7,0.14,-0.16,14.5,-16.0,11,8,0.31,32028.99,0.5,25137.7,28.0,0.11,23,25065.5,-44.2,-0.18,45,,13.0,31.26,10022.11,-2015.23,100,True,True,2025.11.17 01:22,0.0,91.67,100,9610.46,20.9,460.18,0,-173.16,72.05,-131.72,-203.94,-251.25,0,51.16,BULL,NORMAL,False,PASS,True,2025.11.17 01:27,5.783333333333333,83.67,100.0,4979.16,1228.2,192.8,0.0,712.69,99.18,-823.58,793.95,-42.32,0.0,317.72,BULL,NORMAL,0.0,PASS,,2025-11-22T23:52:51.493Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
78,MT5_Backtest,78,2025.11.17 13:57:00,2025-11-17,13:57:00,Monday,November,2025-11-17,05:57:00,Monday,November,15-024,30-012,1h-006,2h-003,3h-002,4h-002,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,1.16,25,155.01,19.26,174.27,79,79,2025-11-17,06:00:51,Monday,November,15-025,30-013,1h-007,2h-004,3h-003,4h-002,After Hours,buy,out,25,0,0.0,Win,Short,3,12.425004838397523,0.37,25164.6,25133.8,81.0,60,-26.62,-2229.55,-4102.35,0,-848.21,17.48,-4259.66,-3516.05,-45.21,0,-539.27,AVOID,NORMAL,0,TP,0,0,-251.19,-5115.49,2707.68,0,1168.9,55.52,-1136.75,-32.03,-37.34,0,64.2,UNKNOWN,UNKNOWN,0,19.26,11.05,16.6,4,3,30,0.37,25133.8,25164.6,0.15,-0.16,14.6,-16.2,4,2,0.08,130657.32,0.5,25064.4,67.4,-0.27,49,25134.4,-2.6,0.01,3,,50.8,-38.03,2885.94,-3122.91,60,True,True,2025.11.17 13:57,0.0,81.0,60,-2039.41,-3809.83,-26.12,0,-764.63,17.48,-4259.66,-3516.05,-45.21,0,-539.27,AVOID,NORMAL,False,PASS,True,2025.11.17 13:57,3.85,81.0,60.0,-2039.41,-3809.83,-26.12,0.0,-764.63,17.48,-4259.66,-3516.05,-45.21,0.0,-539.27,AVOID,NORMAL,0.0,PASS,,2025-11-22T23:52:51.509Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
72,MT5_Backtest,72,2025.11.17 13:40:00,2025-11-17,13:40:00,Monday,November,2025-11-17,05:40:00,Monday,November,15-023,30-012,1h-006,2h-003,3h-002,4h-002,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,1.49,25,199.5,22.5,222.0,73,73,2025-11-17,05:41:25,Monday,November,15-023,30-012,1h-006,2h-003,3h-002,4h-002,After Hours,buy,out,25,0,0.0,Win,Short,1,11.278195488721805,0.34,25174.1,25155.6,83.67,80,-68.15,-2394.51,-3763.43,0,-419.67,18.09,-3301.55,-1907.67,-59.17,0,-317.52,BEAR,NORMAL,0,TP,0,0,-154.8,-5052.35,-2467.5,0,-100.93,15.92,-2047.81,-1195.3,-75.86,0,-99.85,UNKNOWN,UNKNOWN,0,22.5,10.14,15.1,2,1,30,0.34,25155.6,25174.1,0.15,-0.04,14.8,-3.7,2,1,0.09,111884.89,0.5,25088.2,67.1,-0.27,33,25176.4,-21.1,0.08,15,,52.0,2.18,2657.85,-1253.73,80,True,True,2025.11.17 13:40,0.0,83.67,80,-2394.51,-3763.43,-68.15,0,-419.67,18.09,-3301.55,-1907.67,-59.17,0,-317.52,BEAR,NORMAL,False,PASS,True,2025.11.17 13:40,1.4166666666666667,83.67,80.0,-2394.51,-3763.43,-68.15,0.0,-419.67,18.09,-3301.55,-1907.67,-59.17,0.0,-317.52,BEAR,NORMAL,0.0,PASS,,2025-11-22T23:52:51.508Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
62,MT5_Backtest,62,2025.11.17 13:09:00,2025-11-17,13:09:00,Monday,November,2025-11-17,05:09:00,Monday,November,15-021,30-011,1h-006,2h-003,3h-002,4h-002,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,2.6,25,346.92,39.26,386.18,63,63,2025-11-17,05:14:33,Monday,November,15-021,30-011,1h-006,2h-003,3h-002,4h-002,After Hours,sell,out,25,0,0.0,Win,Long,5,11.316730081863252,0.34,25127.9,25156.9,83.67,80,54.49,1451.04,3013.72,0,654.18,93.41,1579.18,1709.35,41.71,0,410.87,BULL,NORMAL,0,TP,0,0,-336.41,-13464.22,-2789.75,0,61.07,28.66,-977.45,1342.54,-34.75,0,449.39,UNKNOWN,UNKNOWN,0,39.26,10.17,15.1,6,5,30,0.34,25156.9,25127.9,0.14,-0.15,13.8,-15.2,6,2,0.16,64003.82,0.5,25193.7,35.5,0.14,21,25118.7,-39.5,-0.16,49,,20.4,64.74,14915.26,2556.63,80,True,True,2025.11.17 13:09,0.0,83.67,80,1429.2,2980.13,53.74,0,644.59,93.41,1579.18,1709.35,41.71,0,410.87,BULL,NORMAL,False,PASS,True,2025.11.17 13:12,2.55,91.67,100.0,3586.4,1284.81,296.8,0.0,36.54,94.82,489.94,-217.6,77.14,0.0,-22.53,BULL,NORMAL,0.0,PASS,,2025-11-22T23:52:51.507Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
